brand_name,founded_year,founder,country,decade,success_score
Amazon,1994,Jeff Bezos,USA,1990,46
Alibaba,1999,Jack Ma,China,1990,41
Shopify,2006,Tobias Lütke,Canada,2000,34
PDD Holdings,2015,Colin Huang,China,2010,25
MercadoLibre,1999,Marcos Galperin,Argentina,1990,26
Carvana,2012,Ernie Garcia,USA,2010,28
Meituan,2010,Wang Xing,China,2010,30
Sea Limited,2009,Forrest Li,Singapore,2000,16
JD.com,1998,Richard Liu,China,1990,42
eBay,1995,Pierre Omidyar,USA,1990,45
Copart,1982,Willis Johnson,USA,1980,58
Coupang,2010,Bom Kim,USA,2010,30
JD Health,2013,Richard Liu (via JD.com),China,2010,27
Wayfair,2002,Niraj Shah and Steve Conine,USA,2000,38
Alibaba Health Information Technology,1999,Jack Ma (via Alibaba),Hong Kong,1990,26
Chewy,2011,Ryan Cohen,USA,2010,29
Rakuten,1997,Hiroshi Mikitani,Japan,1990,28
Ozon,1998,Alexander Egorov,USA,1990,42
Instacart,2012,Apoorva Mehta,USA,2010,28
Allegro.eu,1999,Arjan Bakker,Poland,1990,26
Vipshop,2008,Eric Shen and Hong Xiaobo,China,2000,32
Zalando,2008,Robert Gentz and David Schneider,Germany,2000,32
Nykaa,2012,Falguni Nayar,India,2010,13
Monotaro,2000,Kinya Seto,Japan,2000,25
ZOZO,1998,Yusaku Maezawa,Japan,1990,27
Global-e,2013,"Amir Schlachet, Shahar Tamari, Nir Debbi",Israel,2010,12
Etsy,2005,Rob Kalin,USA,2000,35
GoTo,2015,Nadiem Makarim,Indonesia,2010,10
Mercari,2013,Shintaro Yamada,Japan,2010,12
Ocado,2000,"Jonathan Faiman, Jason Gissing, Tim Steiner",UK,2000,40
Revolve,2003,Michael Mente and Mike Karanikolas,USA,2000,37
Cimpress,1995,Robert Keane,Ireland,1990,30
The RealReal,2011,Julie Wainwright,USA,2010,29
momo.com Inc.,2004,Chun-Tang Ho,Taiwan,2000,21
Jumia,2012,Jeremy Hodara and Sacha Poignonnec,Germany,2010,28
Lightspeed POS,2005,Dax DaSilva,Canada,2000,35
IndiaMART,1999,Dinesh Agarwal,India,1990,26
Redcare Pharmacy,2001,Marc van Gelder,Netherlands,2000,24
About You,2014,"Tarek Müller, Benjamin Shure, Hannes Wiese",Germany,2010,26
Liquidity Services,1999,William P. Angrick III,USA,1990,41
Bukalapak.com,2010,Achmad Zaky,Indonesia,2010,15
Newegg,2001,Fred Chang,USA,2000,39
THG (The Hut Group),2004,Matthew Moulding,UK,2000,36
CEWE,1961,Hubertus Binder,Germany,1960,79
Uxin Limited,2011,Dai Kun,China,2010,29
ThredUp,2009,James Reinhart,USA,2000,31
Groupon,2008,Andrew Mason,USA,2000,32
BHG Group AB,2006,Adam Schatz,Sweden,2000,19
Dingdong Maicai,2017,Liang Changlin,China,2010,23
VTEX,1999,Geraldo Thomaz Jr. and Mariano Gomide de Faria,UK,1990,41
Infibeam Avenues,2007,Vishal Mehta,India,2000,18
Auction Technology Group,2014,John-Paul Savant,UK,2010,26
Wirtualna Polska (WP Holding),1995,"Jacek Świderski, Maciej Kossowski, Michał Brański",Poland,1990,30
ASOS,2000,Nick Robertson and Quentin Griffiths,UK,2000,40
Boohoo Group,2006,Mahmud Kamani and Carol Kane,UK,2000,34
BigCommerce,2009,Eddie Machaalani and Mitchell Harper,USA,2000,31
Westwing Group,2011,Delia Lachance and Stefan Smalla,Germany,2010,29
Rent the Runway,2009,Jennifer Hyman and Jennifer Fleiss,USA,2000,31
1stdibs.com,2001,Michael Bruno,USA,2000,39
Verkkokauppa.com,1992,Samuli Seppälä,Finland,1990,33
Vente-Unique.com,2006,Sacha Vigna,France,2000,19
Americanas,1929,Max Landesmann,Brazil,1920,96
Baozun,2007,Vincent Wenbin Qiu,China,2000,33
The Original BARK Company,2011,"Matt Meeker, Henrik Werdelin, Carly Strife",USA,2010,29
Webuy Global,2018,"Bin Xue, Gin Loo, Ilay Yulish",Singapore,2010,7
Jeffs' Brands,2021,Viki Hakmon,Israel,2020,4
